2017-03-30 16:04:28,782 | [60] | DefaultLogger | DEBUG - DefaultDatabaseAccessFactory-> GetAppDatabase : SQLDatabaseAccess class instantiated...
2017-03-30 16:04:28,786 | [60] | DefaultLogger | DEBUG - OpenConnection: Connection object instantiated...
2017-03-30 16:04:29,240 | [60] | DefaultLogger | DEBUG - OpenConnection: Connection opened...
2017-03-30 16:04:29,241 | [60] | DefaultLogger | DEBUG - ExecuteProcedure: Started...
2017-03-30 16:04:29,242 | [60] | DefaultLogger | DEBUG - GetSqlCommand: Started...
2017-03-30 16:04:29,243 | [60] | DefaultLogger | INFO  - GetSqlCommand: Command 'P_Account_VerifyLoginCreds' object created...
2017-03-30 16:04:29,244 | [60] | DefaultLogger | DEBUG - GetSqlCommand: Completed...
2017-03-30 16:04:29,246 | [60] | DefaultLogger | DEBUG - AddCommandParameters: Started...
2017-03-30 16:04:29,247 | [60] | DefaultLogger | INFO  - AddCommandParameters: parameter count - 2
2017-03-30 16:04:29,248 | [60] | DefaultLogger | INFO  - Parameter: Name: @UserName, Direction: In, DataType: String, Value: JCI, Size: -1
2017-03-30 16:04:29,249 | [60] | DefaultLogger | INFO  - Parameter: Name: @Password, Direction: In, DataType: String, Value: 123456, Size: -1
2017-03-30 16:04:29,250 | [60] | DefaultLogger | DEBUG - AddCommandParameters: Completed...
2017-03-30 16:04:29,411 | [60] | DefaultLogger | DEBUG - ExecuteProcedure: Completed...
2017-03-30 16:04:29,413 | [60] | DefaultLogger | DEBUG - Connection closed...
2017-03-30 16:06:48,239 | [57] | DefaultLogger | DEBUG - DefaultDatabaseAccessFactory-> GetAppDatabase : SQLDatabaseAccess class instantiated...
2017-03-30 16:06:48,240 | [57] | DefaultLogger | DEBUG - OpenConnection: Connection object instantiated...
2017-03-30 16:06:48,241 | [57] | DefaultLogger | DEBUG - OpenConnection: Connection opened...
2017-03-30 16:06:48,243 | [57] | DefaultLogger | DEBUG - ExecuteProcedure: Started...
2017-03-30 16:06:48,244 | [57] | DefaultLogger | DEBUG - GetSqlCommand: Started...
2017-03-30 16:06:48,244 | [57] | DefaultLogger | INFO  - GetSqlCommand: Command 'P_Buyer_GetBuyerList' object created...
2017-03-30 16:06:48,245 | [57] | DefaultLogger | DEBUG - GetSqlCommand: Completed...
2017-03-30 16:06:48,246 | [57] | DefaultLogger | DEBUG - AddCommandParameters: Started...
2017-03-30 16:06:48,247 | [57] | DefaultLogger | INFO  - AddCommandParameters: parameter count - 6
2017-03-30 16:06:48,248 | [57] | DefaultLogger | INFO  - Parameter: Name: @ClientID, Direction: In, DataType: Int, Value: 1, Size: -1
2017-03-30 16:06:48,248 | [57] | DefaultLogger | INFO  - Parameter: Name: @StartIndex, Direction: In, DataType: Int, Value: 1, Size: -1
2017-03-30 16:06:48,249 | [57] | DefaultLogger | INFO  - Parameter: Name: @PageSize, Direction: In, DataType: Int, Value: 10, Size: -1
2017-03-30 16:06:48,250 | [57] | DefaultLogger | INFO  - Parameter: Name: @BuyerCode, Direction: In, DataType: String, Value: , Size: 20
2017-03-30 16:06:48,251 | [57] | DefaultLogger | INFO  - Parameter: Name: @FirstName, Direction: In, DataType: String, Value: , Size: 100
2017-03-30 16:06:48,252 | [57] | DefaultLogger | INFO  - Parameter: Name: @LastName, Direction: In, DataType: String, Value: , Size: 100
2017-03-30 16:06:48,253 | [57] | DefaultLogger | DEBUG - AddCommandParameters: Completed...
2017-03-30 16:06:48,317 | [57] | DefaultLogger | DEBUG - ExecuteProcedure: Completed...
2017-03-30 16:06:48,320 | [57] | DefaultLogger | DEBUG - Connection closed...
2017-03-30 16:06:49,743 | [57] | DefaultLogger | DEBUG - DefaultDatabaseAccessFactory-> GetAppDatabase : SQLDatabaseAccess class instantiated...
2017-03-30 16:06:49,744 | [57] | DefaultLogger | DEBUG - OpenConnection: Connection object instantiated...
2017-03-30 16:06:49,745 | [57] | DefaultLogger | DEBUG - OpenConnection: Connection opened...
2017-03-30 16:06:49,746 | [57] | DefaultLogger | DEBUG - ExecuteProcedure: Started...
2017-03-30 16:06:49,747 | [57] | DefaultLogger | DEBUG - GetSqlCommand: Started...
2017-03-30 16:06:49,747 | [57] | DefaultLogger | INFO  - GetSqlCommand: Command 'P_Buyer_GetBuyerList' object created...
2017-03-30 16:06:49,748 | [57] | DefaultLogger | DEBUG - GetSqlCommand: Completed...
2017-03-30 16:06:49,749 | [57] | DefaultLogger | DEBUG - AddCommandParameters: Started...
2017-03-30 16:06:49,750 | [57] | DefaultLogger | INFO  - AddCommandParameters: parameter count - 6
2017-03-30 16:06:49,751 | [57] | DefaultLogger | INFO  - Parameter: Name: @ClientID, Direction: In, DataType: Int, Value: 1, Size: -1
2017-03-30 16:06:49,752 | [57] | DefaultLogger | INFO  - Parameter: Name: @StartIndex, Direction: In, DataType: Int, Value: 11, Size: -1
2017-03-30 16:06:49,753 | [57] | DefaultLogger | INFO  - Parameter: Name: @PageSize, Direction: In, DataType: Int, Value: 10, Size: -1
2017-03-30 16:06:49,753 | [57] | DefaultLogger | INFO  - Parameter: Name: @BuyerCode, Direction: In, DataType: String, Value: , Size: 20
2017-03-30 16:06:49,754 | [57] | DefaultLogger | INFO  - Parameter: Name: @FirstName, Direction: In, DataType: String, Value: , Size: 100
2017-03-30 16:06:49,755 | [57] | DefaultLogger | INFO  - Parameter: Name: @LastName, Direction: In, DataType: String, Value: , Size: 100
2017-03-30 16:06:49,756 | [57] | DefaultLogger | DEBUG - AddCommandParameters: Completed...
2017-03-30 16:06:49,775 | [57] | DefaultLogger | DEBUG - ExecuteProcedure: Completed...
2017-03-30 16:06:49,776 | [57] | DefaultLogger | DEBUG - Connection closed...
2017-03-30 16:06:52,842 | [57] | DefaultLogger | DEBUG - DefaultDatabaseAccessFactory-> GetAppDatabase : SQLDatabaseAccess class instantiated...
2017-03-30 16:06:52,843 | [57] | DefaultLogger | DEBUG - OpenConnection: Connection object instantiated...
2017-03-30 16:06:52,844 | [57] | DefaultLogger | DEBUG - OpenConnection: Connection opened...
2017-03-30 16:06:52,845 | [57] | DefaultLogger | DEBUG - ExecuteProcedure: Started...
2017-03-30 16:06:52,847 | [57] | DefaultLogger | DEBUG - GetSqlCommand: Started...
2017-03-30 16:06:52,848 | [57] | DefaultLogger | INFO  - GetSqlCommand: Command 'P_Buyer_GetBuyerList' object created...
2017-03-30 16:06:52,849 | [57] | DefaultLogger | DEBUG - GetSqlCommand: Completed...
2017-03-30 16:06:52,852 | [57] | DefaultLogger | DEBUG - AddCommandParameters: Started...
2017-03-30 16:06:52,853 | [57] | DefaultLogger | INFO  - AddCommandParameters: parameter count - 6
2017-03-30 16:06:52,854 | [57] | DefaultLogger | INFO  - Parameter: Name: @ClientID, Direction: In, DataType: Int, Value: 1, Size: -1
2017-03-30 16:06:52,854 | [57] | DefaultLogger | INFO  - Parameter: Name: @StartIndex, Direction: In, DataType: Int, Value: 1, Size: -1
2017-03-30 16:06:52,855 | [57] | DefaultLogger | INFO  - Parameter: Name: @PageSize, Direction: In, DataType: Int, Value: 10, Size: -1
2017-03-30 16:06:52,856 | [57] | DefaultLogger | INFO  - Parameter: Name: @BuyerCode, Direction: In, DataType: String, Value: , Size: 20
2017-03-30 16:06:52,857 | [57] | DefaultLogger | INFO  - Parameter: Name: @FirstName, Direction: In, DataType: String, Value: , Size: 100
2017-03-30 16:06:52,858 | [57] | DefaultLogger | INFO  - Parameter: Name: @LastName, Direction: In, DataType: String, Value: , Size: 100
2017-03-30 16:06:52,859 | [57] | DefaultLogger | DEBUG - AddCommandParameters: Completed...
2017-03-30 16:06:52,865 | [57] | DefaultLogger | DEBUG - ExecuteProcedure: Completed...
2017-03-30 16:06:52,866 | [57] | DefaultLogger | DEBUG - Connection closed...
2017-03-30 16:07:10,664 | [60] | DefaultLogger | DEBUG - DefaultDatabaseAccessFactory-> GetAppDatabase : SQLDatabaseAccess class instantiated...
2017-03-30 16:07:10,665 | [60] | DefaultLogger | DEBUG - OpenConnection: Connection object instantiated...
2017-03-30 16:07:10,665 | [60] | DefaultLogger | DEBUG - OpenConnection: Connection opened...
2017-03-30 16:07:10,666 | [60] | DefaultLogger | DEBUG - ExecuteProcedure: Started...
2017-03-30 16:07:10,666 | [60] | DefaultLogger | DEBUG - GetSqlCommand: Started...
